S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
85,2022-02-03,2774,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,1698.0000,1698.0000,1635.0000,1636.0000,344,569257.6000,1665.0000,2868.0000,1442.0000,2022-02-03T14:54:43.658253,1636.0000,18,1654.81,3746.78
86,2022-02-03,2781,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,1816.7000,1959.2000,1816.7000,1959.2000,2373,4643638.4000,1781.1000,1959.2000,831.0000,2022-02-03T14:27:45.727743,1959.2000,105,1956.86,1419.37
87,2022-02-03,2786,PMHPL,Panchakanya Mai Hydropower Ltd,393.7000,396.9000,385.0000,390.0000,76830,30053667.1000,386.0000,484.0000,133.0000,2022-02-03T14:59:49.159080,390.0000,472,391.17,4290.00
88,2022-02-03,2824,HURJA,Himalaya Urja Bikas Company Limited,550.0000,554.8000,530.0000,554.8000,38061,20790849.0000,540.0000,685.4000,204.0000,2022-02-03T14:59:52.608800,554.8000,253,546.25,5492.52
89,2022-02-03,2843,SABSL,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,1529.9000,1560.0000,1482.0000,1482.0000,1063,1613843.4000,1505.0000,2306.2000,1041.0000,2022-02-03T14:58:01.345608,1482.0000,52,1518.19,4001.38
90,2022-02-03,2867,NMB50,NMB 50,13.1300,13.4600,13.0800,13.4500,219695,2945209.3500,13.1100,18.4700,10.7200,2022-02-03T14:58:51.838764,13.4500,35,13.40,1681.25
91,2022-02-03,2896,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,1439.2000,1439.2000,1400.0000,1403.1000,3246,4580257.8000,1411.0000,2079.0000,1026.0000,2022-02-03T14:58:26.998188,1403.1000,113,1411.04,4507.11
92,2022-02-03,2935,RURU,Ru Ru Jalbidhyut Pariyojana Limited,1071.0000,1105.0000,1071.0000,1088.0000,8364,9168388.4000,1066.0000,1849.2000,356.0000,2022-02-03T14:59:51.896883,1088.0000,194,1096.17,4879.42
93,2022-02-03,5982,SLI,Sanima Life Insurance Limited,560.0000,598.0000,560.0000,577.0000,54574,31737511.7000,570.0000,787.8000,309.0000,2022-02-03T14:59:57.011569,577.0000,1796,581.55,11540.00
94,2022-02-03,8022,TPC,Terhathum Power Company Limited,613.0000,663.0000,613.0000,635.0000,26223,16538315.7000,611.0000,663.0000,254.2000,2022-02-03T14:59:59.837397,635.0000,546,630.67,2540.00
