Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,Bollinger Band Signal
2021-05-18,129.949997,129.949997,128.679993,128.75,128.252167,1777600,35.216047632145035,Down,Inbetween Bollingers Band
2021-05-19,127.599998,130.279999,127.129997,130.210007,129.706512,1119400,44.962620554463314,Down,Inbetween Bollingers Band
2021-05-20,130.610001,132.789993,130.610001,132.149994,131.638992,1035100,55.37125052550833,Down,Inbetween Bollingers Band
2021-05-21,132.669998,134.130005,132.220001,132.300003,131.788437,1445900,56.11996454159226,Down,Inbetween Bollingers Band
2021-05-24,133.509995,134.410004,132.529999,133.339996,132.824417,1312300,61.36234756410602,Down,Inbetween Bollingers Band
2021-05-25,133.410004,134.800003,133.009995,133.229996,132.714828,1890600,60.47074869955428,UP,Inbetween Bollingers Band
2021-05-26,136.300003,138.0,133.25,133.289993,132.774597,2498400,60.83286259251738,UP,Inbetween Bollingers Band
2021-05-27,133.320007,138.139999,133.160004,137.539993,137.008179,3699600,77.70815682400428,UP,Above Upper  Band
2021-05-28,138.600006,139.210007,138.0,138.130005,137.595901,1264400,79.16224646516608,UP,Above Upper  Band
2021-06-01,139.169998,140.320007,135.570007,137.199997,136.669479,2015800,70.68323328350763,UP,Inbetween Bollingers Band
2021-06-02,137.119995,138.220001,135.880005,136.570007,136.041931,1395700,65.16703297572815,UP,Inbetween Bollingers Band
2021-06-03,136.0,136.910004,135.740005,136.369995,135.842697,1228700,63.33624018400338,UP,Inbetween Bollingers Band
2021-06-04,137.699997,138.410004,137.389999,137.899994,137.366776,1069700,70.68605407714092,UP,Inbetween Bollingers Band
2021-06-07,138.089996,138.580002,137.369995,137.649994,137.117737,936000,68.08414563905677,UP,Inbetween Bollingers Band
2021-06-08,138.600006,138.919998,137.570007,138.75,138.213501,1143900,73.1563455738169,UP,Inbetween Bollingers Band
2021-06-09,139.130005,140.369995,138.869995,140.130005,139.588165,961400,78.22198717365183,UP,Inbetween Bollingers Band
2021-06-10,140.320007,143.350006,140.009995,143.059998,142.506821,1462400,85.15918101220632,UP,Above Upper  Band
2021-06-11,143.360001,143.600006,141.899994,143.529999,142.975006,995100,85.99412474359484,UP,Above Upper  Band
2021-06-14,143.5,144.429993,142.759995,144.389999,143.831696,934200,87.4958994623385,UP,Inbetween Bollingers Band
2021-06-15,144.850006,145.160004,144.039993,144.619995,144.060791,1035800,87.90065707336942,UP,Inbetween Bollingers Band
2021-06-16,144.660004,145.080002,142.919998,143.589996,143.034775,1680800,75.18449220439118,UP,Inbetween Bollingers Band
2021-06-17,143.490005,147.679993,143.490005,146.919998,146.351898,2822400,83.94499073261446,UP,Inbetween Bollingers Band
2021-06-18,146.309998,146.830002,144.940002,145.009995,144.449295,3220700,67.90390392258743,UP,Inbetween Bollingers Band
2021-06-21,145.419998,146.690002,143.729996,146.410004,145.843887,1266100,72.41210563827963,UP,Inbetween Bollingers Band
2021-06-22,146.369995,147.679993,145.830002,146.630005,146.063034,1366200,73.10467468901018,UP,Inbetween Bollingers Band
2021-06-23,146.720001,148.059998,146.429993,147.240005,146.67067,1455700,75.12474645120977,UP,Inbetween Bollingers Band
2021-06-24,147.919998,148.330002,146.570007,146.669998,146.102875,1426800,69.43899004792536,UP,Inbetween Bollingers Band
2021-06-25,147.009995,147.759995,146.210007,147.279999,146.71051,8445100,72.07749333968829,UP,Inbetween Bollingers Band
2021-06-28,147.630005,148.039993,146.429993,147.929993,147.358002,1645000,74.7839743863569,UP,Inbetween Bollingers Band
2021-06-29,147.570007,148.839996,147.529999,148.809998,148.234589,816700,78.13185485043903,UP,Inbetween Bollingers Band
2021-06-30,148.679993,148.779999,146.660004,147.809998,147.238464,1259300,66.43759332706014,UP,Inbetween Bollingers Band
2021-07-01,147.770004,148.369995,147.009995,147.789993,147.218536,1426500,66.20631191647553,Down,Inbetween Bollingers Band
2021-07-02,148.110001,148.889999,147.25,148.820007,148.439423,1400700,72.93950559536964,Down,Inbetween Bollingers Band
